melting_point,0-norm,2-norm,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData minimum MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData range Row,MagpieData avg_dev Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData avg_dev Electronegativity,MagpieData minimum NsValence,MagpieData mean NsValence,MagpieData minimum NpValence,MagpieData range NpValence,MagpieData minimum NdValence,MagpieData mean NdValence,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData mode NpUnfilled,MagpieData mean NdUnfilled,MagpieData maximum NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData mode SpaceGroupNumber,compound possible,Yang delta,Yang omega,APE mean,Radii gamma,Total weight,Lambda entropy,Electronegativity delta,Mixing enthalpy,Mean cohesive energy,Interant electrons,Shear modulus local mismatch
6.5,3,0.6787247445386805,31,50,19,38.040404040404034,8.67605346393225,74,1.3025201510049895,1,0.4730129578614427,122,142,20,8.974798489950008,1.78,1.96,0.1799999999999999,0.0362105907560453,2,2.0,1,1,10,9.999999999999998,4,5,5,0.0,5,18.8575,33.285,14.427499999999997,4.015880012243648,141,77,93.05050505050504,64,False,0.071889779710303,1.25179631423943,-0.030268989,1.092328719882833,86.66783000000001,-1.467938067,0.0227284508706406,2.1907968574635244,2.78010101010101,4,7.277700234669932
7.6,4,0.6720119046564577,30,50,20,37.96,8.650400000000001,69,1.315200000000001,1,0.4711999999999999,122,142,20,8.940400000000002,1.65,1.96,0.31,0.0362959999999999,2,2.0,0,2,10,10.0,0,5,5,0.0,5,13.96,33.285,19.325,4.037708999999999,194,130,94.06,64,False,0.0715543652894675,1.3332713458502663,-0.02972063,1.0923336330814537,8732.192,-1.557851438,0.0226377433721996,2.1824,2.7658,4,7.242635
10.0,3,0.7248793002976427,31,50,19,36.77,7.904900000000001,74,1.1165499999999993,1,0.4315500000000001,122,142,20,8.22,1.78,1.96,0.1799999999999999,0.0282899999999998,2,2.0,1,1,10,10.0,4,5,5,0.0,5,18.8575,33.285,14.427499999999997,3.567873874999999,141,77,87.825,64,False,0.0693726374663959,1.1701047964642826,-0.020574491,1.092675002983367,8431.7125,-1.416426554,0.0211861447306254,2.0413,2.78065,4,6.589216050000001
10.0,3,0.7248793002976427,31,50,19,36.77,7.904900000000001,74,1.1165499999999993,1,0.4315500000000001,122,142,20,8.219999999999999,1.78,1.96,0.1799999999999999,0.02829,2,2.0,1,1,10,10.0,4,5,5,0.0,5,18.8575,33.285,14.427499999999997,3.567873874999999,141,77,87.825,64,False,0.0693726374663959,1.1701047964642826,-0.020574491,1.092675002983367,84.317125,-1.416426554,0.0211861447306254,2.0413,2.78065,4,6.589216050000001
10.5,3,0.7188880302244571,31,50,19,36.88,7.9968,74,1.2512000000000003,1,0.4352000000000001,122,142,20,8.214399999999998,1.78,1.96,0.1799999999999999,0.03312,2,2.0,1,1,10,10.0,4,5,5,0.0,5,18.8575,33.285,14.427499999999997,3.824048,141,77,88.24,64,False,0.0696134109106033,1.255030301660664,-0.021279187,1.0926497412313747,8462.044,-1.438677181,0.0207875520010973,1.9584,2.7916000000000007,4,6.494847999999999
10.5,3,0.7188880302244572,31,50,19,36.88,7.996800000000001,74,1.2512000000000008,1,0.4352000000000001,122,142,20,8.214400000000008,1.78,1.96,0.1799999999999999,0.03312,2,2.0,1,1,10,10.0,4,5,5,0.0,5,18.8575,33.285,14.427499999999997,3.824047999999999,141,77,88.24000000000001,64,False,0.0696134109106033,1.255030301660664,-0.021279187,1.0926497412313747,84.62044,-1.438677181,0.0207875520010973,1.9584,2.7916000000000003,4,6.494847999999999
10.7,3,0.7117232608254419,31,50,19,37.065,8.127099999999999,74,1.2796999999999994,1,0.4422,122,142,20,8.341499999999996,1.78,1.96,0.1799999999999999,0.0343500000000001,2,2.0,1,1,10,10.0,4,5,5,0.0,5,18.8575,33.285,14.427499999999997,3.900673,141,77,89.0,64,False,0.0700664661479269,1.2667280715154252,-0.022688322,1.0925992695543765,8509.085,-1.444778321,0.0210242733170636,1.9832,2.7918000000000003,4,6.6052212
10.77,3,0.7316769553449108,31,50,19,36.56656656656657,7.756417077738401,74,1.1688324961598235,1,0.4226208190172153,122,142,20,8.004689374058746,1.78,1.96,0.1799999999999999,0.0299513928342759,2,2.0,1,1,10,10.0,4,5,5,0.0,5,18.8575,33.285,14.427499999999997,3.630121051982913,141,77,86.96196196196198,64,False,0.0687713249866206,1.214712737929023,-0.018925634,1.0927341664003092,83.733506,-1.424943354,0.0205285677652688,1.9387555723892065,2.788448448448449,4,6.341367289211135
10.8,3,0.8046316423455949,31,50,19,34.85849802371541,6.1003921323563866,74,1.0248558796419245,1,0.3312034245184271,122,142,20,6.207877017294449,1.78,1.96,0.1799999999999999,0.0246551828649097,2,2.0,1,1,10,10.0,4,5,5,0.0,5,18.8575,33.285,14.427499999999997,3.041369182458717,141,77,79.88695652173914,64,False,0.0617473177097607,1.2792200304507406,-0.005683486,1.0932121598761912,100.581782,-1.429833495,0.016785943921884,1.4322985830117645,2.803652173913044,4,4.724388712837258
11.0,3,0.6800367637120805,31,50,19,37.91,8.6375,74,1.543999999999998,1,0.46875,122,142,20,8.775000000000002,1.78,1.96,0.1799999999999999,0.0423839999999999,2,2.0,1,1,10,10.0,4,5,5,0.0,5,18.8575,33.285,14.427499999999997,4.337421875,141,77,92.445,64,False,0.0716587227051593,1.3740284555917748,-0.02902519,1.0923729984895412,87.256345,-1.485429946,0.0216915031839463,2.0125,2.80045,4,6.94317405
